MONTH,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
JAN,43765.6,66392.6
FEB,41089.2,68938.4
MAR,49371.3,80505.3
APR,45922,75218.5
MAY,46190.4,77512.4
JUN,45061.7,78705.7
JUL,48473,73268.6
AUG,47419.1,73907.4
SEP,49742.4,72500.1
OCT,52396.9,80946.1
NOV,49964.8,71950.7
DEC,51122.3,73356.4
