MONTH,FREIGHT_TO_INDIA,FREIGHT_FROM_INDIA
JAN,39561.873,72763.179
FEB,40590.829,65478.423
MAR,46228.8537,75520.9455
APR,44996.78955,69767.42776
MAY,48352.42728,72994.30629
JUN,45391.09253,71952.19437
JUL,46769.79854,71087.63352
AUG,56823.41702,68385.5702
SEP,47047.7322,65945.0834
OCT,54270.73571,81603.12273
NOV,43958.21545,62025.05838
DEC,46745.50798,110252.4722
